client_id,full_name,fio,phone,email,city,created_at,last_order_at,total_spent
c100915,Вера Тихонова,,+79654483433,user100915@example.ru,Красноярск,,2026-05-07,145459
c103311,Максим Савельев,,+79839699568,user103311@example.ru,Москва,,2026-06-18,158943
c106652,Глеб Осипов,,+79284301639,user106652@example.ru,Москва,,2026-05-02,165874
c100058,,Елена Гордеева,+7 (960) 990-12-27,user100058@example.ru,С.-Петербург,22.03.2024,,
c92076,,Елена Лаптева,+7 (949) 423-56-22,user92076@example.ru,Екатеринбург,15.06.2025,,
c91047,,Мария Сорокина,+7 (948) 490-80-26,user91047@example.ru,Казань,22.01.2026,,
c100005,Ольга Савельева,,+79842157351,user100005@example.ru,Красноярск,,2026-06-21,113269
c106077,Елена Гордеева,,+79837747050,user106077@example.ru,Москва,,2026-01-11,101162
c90286,,Мария Юдина,+7 (969) 253-98-78,user90286@example.ru,Красноярск,01.09.2025,,
c101991,Егор Савельев,,+79989387270,user101991@example.ru,Новосибирск,,2026-04-09,147045
c90185,,Лидия Шилова,+7 (943) 160-03-50,user90185@example.ru,Москва,27.06.2026,,
c91840,,Роман Нестеров,+7 (980) 542-13-35,user91840@example.ru,С.-Петербург,22.07.2024,,
c105420,Лидия Лаптева,,+79569000015,user105420@example.ru,Новосибирск,,2026-06-21,65146
c92203,,Глеб Крылов,+7 (931) 573-26-41,user92203@example.ru,Новосибирск,12.12.2025,,
c102824,Роман Савельев,,+79615633365,user102824@example.ru,Санкт-Петербург,,2026-06-15,62768
c100469,Роман Шилов,,+79738199432,user100469@example.ru,Екатеринбург,,2026-01-27,4850
c102138,Роман Юдин,,+79371390047,user102138@example.ru,Екатеринбург,,2026-06-10,109197
c92147,,Денис Мешков,+7 (983) 087-90-81,user92147@example.ru,С.-Петербург,23.03.2025,,
c105428,Игорь Юдин,,+79181475810,user105428@example.ru,Екатеринбург,,2026-07-01,67191
c105171,,Тимур Сорокин,+7 (946) 786-43-07,user105171@example.ru,Новосибирск,11.04.2025,,
c101110,Наталья Сорокина,,+79943521075,user101110@example.ru,Красноярск,,2026-07-04,173155
